縣市,行政區,里別,調查日期,確診數
台南市,七股區,七股里,2023-06-12,0
台南市,七股區,七股里,2023-06-19,0
台南市,七股區,七股里,2023-06-26,0
台南市,七股區,七股里,2023-07-03,0
台南市,七股區,七股里,2023-07-10,0
台南市,七股區,七股里,2023-07-17,0
台南市,七股區,七股里,2023-07-24,0
台南市,七股區,七股里,2023-07-31,0
台南市,七股區,七股里,2023-08-07,0
台南市,七股區,七股里,2023-08-14,0
台南市,七股區,七股里,2023-08-21,0
台南市,七股區,七股里,2023-08-28,0
台南市,七股區,七股里,2023-09-04,0
台南市,七股區,七股里,2023-09-11,0
台南市,七股區,七股里,2023-09-18,0
台南市,七股區,七股里,2023-09-25,0
台南市,七股區,七股里,2023-10-02,0
台南市,七股區,七股里,2023-10-09,0
台南市,七股區,七股里,2023-10-16,0
台南市,七股區,七股里,2023-10-23,0
台南市,七股區,七股里,2023-10-30,0
台南市,七股區,七股里,2023-11-06,0
台南市,七股區,七股里,2023-11-13,0
台南市,七股區,七股里,2023-11-20,0
台南市,七股區,七股里,2023-11-27,0
台南市,七股區,七股里,2023-12-04,0
台南市,七股區,七股里,2023-12-11,0
台南市,七股區,七股里,2023-12-18,0
台南市,七股區,七股里,2023-12-25,0
台南市,七股區,七股里,2024-01-01,0
台南市,七股區,三股里,2023-06-12,0
台南市,七股區,三股里,2023-06-19,0
台南市,七股區,三股里,2023-06-26,0
台南市,七股區,三股里,2023-07-03,0
台南市,七股區,三股里,2023-07-10,0
台南市,七股區,三股里,2023-07-17,0
台南市,七股區,三股里,2023-07-24,0
台南市,七股區,三股里,2023-07-31,0
台南市,七股區,三股里,2023-08-07,0
台南市,七股區,三股里,2023-08-14,0
台南市,七股區,三股里,2023-08-21,0
台南市,七股區,三股里,2023-08-28,0
台南市,七股區,三股里,2023-09-04,0
台南市,七股區,三股里,2023-09-11,0
台南市,七股區,三股里,2023-09-18,0
台南市,七股區,三股里,2023-09-25,1
台南市,七股區,三股里,2023-10-02,0
台南市,七股區,三股里,2023-10-09,0
台南市,七股區,三股里,2023-10-16,0
台南市,七股區,三股里,2023-10-23,0
台南市,七股區,三股里,2023-10-30,0
台南市,七股區,三股里,2023-11-06,0
台南市,七股區,三股里,2023-11-13,0
台南市,七股區,三股里,2023-11-20,0
台南市,七股區,三股里,2023-11-27,0
台南市,七股區,三股里,2023-12-04,0
台南市,七股區,三股里,2023-12-11,0
台南市,七股區,三股里,2023-12-18,0
台南市,七股區,三股里,2023-12-25,0
台南市,七股區,三股里,2024-01-01,0
台南市,七股區,中寮里,2023-06-12,0
台南市,七股區,中寮里,2023-06-19,0
台南市,七股區,中寮里,2023-06-26,0
台南市,七股區,中寮里,2023-07-03,0
台南市,七股區,中寮里,2023-07-10,0
台南市,七股區,中寮里,2023-07-17,0
台南市,七股區,中寮里,2023-07-24,0
台南市,七股區,中寮里,2023-07-31,0
台南市,七股區,中寮里,2023-08-07,0
台南市,七股區,中寮里,2023-08-14,0
台南市,七股區,中寮里,2023-08-21,0
台南市,七股區,中寮里,2023-08-28,0
台南市,七股區,中寮里,2023-09-04,0
台南市,七股區,中寮里,2023-09-11,0
台南市,七股區,中寮里,2023-09-18,0
台南市,七股區,中寮里,2023-09-25,0
台南市,七股區,中寮里,2023-10-02,0
台南市,七股區,中寮里,2023-10-09,0
台南市,七股區,中寮里,2023-10-16,0
台南市,七股區,中寮里,2023-10-23,0
台南市,七股區,中寮里,2023-10-30,0
台南市,七股區,中寮里,2023-11-06,0
台南市,七股區,中寮里,2023-11-13,0
台南市,七股區,中寮里,2023-11-20,0
台南市,七股區,中寮里,2023-11-27,0
台南市,七股區,中寮里,2023-12-04,0
台南市,七股區,中寮里,2023-12-11,0
台南市,七股區,中寮里,2023-12-18,0
台南市,七股區,中寮里,2023-12-25,0
台南市,七股區,中寮里,2024-01-01,0
台南市,七股區,十份里,2023-06-12,0
台南市,七股區,十份里,2023-06-19,0
台南市,七股區,十份里,2023-06-26,0
台南市,七股區,十份里,2023-07-03,0
台南市,七股區,十份里,2023-07-10,0
台南市,七股區,十份里,2023-07-17,0
台南市,七股區,十份里,2023-07-24,0
台南市,七股區,十份里,2023-07-31,0
台南市,七股區,十份里,2023-08-07,0
台南市,七股區,十份里,2023-08-14,0
台南市,七股區,十份里,2023-08-21,1
台南市,七股區,十份里,2023-08-28,0
台南市,七股區,十份里,2023-09-04,0
台南市,七股區,十份里,2023-09-11,0
台南市,七股區,十份里,2023-09-18,0
台南市,七股區,十份里,2023-09-25,0
台南市,七股區,十份里,2023-10-02,0
台南市,七股區,十份里,2023-10-09,0
台南市,七股區,十份里,2023-10-16,0
台南市,七股區,十份里,2023-10-23,1
台南市,七股區,十份里,2023-10-30,0
台南市,七股區,十份里,2023-11-06,0
台南市,七股區,十份里,2023-11-13,0
台南市,七股區,十份里,2023-11-20,0
台南市,七股區,十份里,2023-11-27,0
台南市,七股區,十份里,2023-12-04,0
台南市,七股區,十份里,2023-12-11,0
台南市,七股區,十份里,2023-12-18,0
台南市,七股區,十份里,2023-12-25,0
台南市,七股區,十份里,2024-01-01,0
台南市,七股區,塩埕里,2023-06-12,0
台南市,七股區,塩埕里,2023-06-19,0
台南市,七股區,塩埕里,2023-06-26,0
台南市,七股區,塩埕里,2023-07-03,0
台南市,七股區,塩埕里,2023-07-10,0
台南市,七股區,塩埕里,2023-07-17,0
台南市,七股區,塩埕里,2023-07-24,0
台南市,七股區,塩埕里,2023-07-31,0
台南市,七股區,塩埕里,2023-08-07,0
台南市,七股區,塩埕里,2023-08-14,0
台南市,七股區,塩埕里,2023-08-21,0
台南市,七股區,塩埕里,2023-08-28,0
台南市,七股區,塩埕里,2023-09-04,0
台南市,七股區,塩埕里,2023-09-11,0
台南市,七股區,塩埕里,2023-09-18,0
台南市,七股區,塩埕里,2023-09-25,0
台南市,七股區,塩埕里,2023-10-02,0
台南市,七股區,塩埕里,2023-10-09,0
台南市,七股區,塩埕里,2023-10-16,0
台南市,七股區,塩埕里,2023-10-23,0
台南市,七股區,塩埕里,2023-10-30,0
台南市,七股區,塩埕里,2023-11-06,0
台南市,七股區,塩埕里,2023-11-13,0
台南市,七股區,塩埕里,2023-11-20,0
台南市,七股區,塩埕里,2023-11-27,0
台南市,七股區,塩埕里,2023-12-04,0
台南市,七股區,塩埕里,2023-12-11,0
台南市,七股區,塩埕里,2023-12-18,0
台南市,七股區,塩埕里,2023-12-25,0
台南市,七股區,塩埕里,2024-01-01,0
台南市,七股區,後港里,2023-06-12,0
台南市,七股區,後港里,2023-06-19,0
台南市,七股區,後港里,2023-06-26,0
台南市,七股區,後港里,2023-07-03,0
台南市,七股區,後港里,2023-07-10,0
台南市,七股區,後港里,2023-07-17,0
台南市,七股區,後港里,2023-07-24,0
台南市,七股區,後港里,2023-07-31,0
台南市,七股區,後港里,2023-08-07,0
台南市,七股區,後港里,2023-08-14,0
台南市,七股區,後港里,2023-08-21,0
台南市,七股區,後港里,2023-08-28,0
台南市,七股區,後港里,2023-09-04,0
台南市,七股區,後港里,2023-09-11,0
台南市,七股區,後港里,2023-09-18,0
台南市,七股區,後港里,2023-09-25,0
台南市,七股區,後港里,2023-10-02,0
台南市,七股區,後港里,2023-10-09,0
台南市,七股區,後港里,2023-10-16,0
台南市,七股區,後港里,2023-10-23,0
台南市,七股區,後港里,2023-10-30,0
台南市,七股區,後港里,2023-11-06,0
台南市,七股區,後港里,2023-11-13,0
台南市,七股區,後港里,2023-11-20,0
台南市,七股區,後港里,2023-11-27,0
台南市,七股區,後港里,2023-12-04,0
台南市,七股區,後港里,2023-12-11,0
台南市,七股區,後港里,2023-12-18,0
台南市,七股區,後港里,2023-12-25,0
台南市,七股區,後港里,2024-01-01,0
台南市,七股區,樹林里,2023-06-12,0
台南市,七股區,樹林里,2023-06-19,0
台南市,七股區,樹林里,2023-06-26,0
台南市,七股區,樹林里,2023-07-03,0
台南市,七股區,樹林里,2023-07-10,0
