,七股區,下營區,中西區,仁德區,佳里區,六甲區,北區,北門區,南化區,南區,善化區,大內區,學甲區,安南區,安定區,安平區,官田區,將軍區,山上區,左鎮區,後壁區,新化區,新市區,新營區,東區,東山區,柳營區,楠西區,歸仁區,永康區,玉井區,白河區,西港區,關廟區,鹽水區,麻豆區,龍崎區
七股區,1.0,0.9972862446306205,0.4350345386557261,0.6507381358713956,0.9732672528202218,0.96379478543176,0.4639896797761985,0.18843183257463725,0.9943720033507544,0.3872412154946501,0.9913352024538398,0.9950992916123115,0.9951017989913287,0.37112867543862643,0.99825116692133,0.4583799378369141,0.9941976141921584,0.9991791570916905,0.9994429813459471,0.9840052231062613,0.5368876581704172,0.9754520942224761,0.9976366420863529,0.44728904182182344,0.38629529655743433,0.9049454967996865,0.9831999232383875,0.9970049879647731,0.6473465964204187,0.44080353173768616,0.8559969440141642,0.18819385781804257,0.9998403322492859,0.9490395423131178,0.9660717495616375,0.9627605003396057,0.982171533655528
下營區,0.9972862446306205,1.0000000000000002,0.42527119838958555,0.6499362866081311,0.9774149556523533,0.980253342066271,0.45603447330665936,0.2543231524212548,0.9858326525168679,0.3789851181585831,0.9910400991546319,0.9862662233430453,0.9993855262753858,0.3746818892699916,0.9971014002440933,0.4519230619912614,0.9993738887853848,0.9988183856086751,0.9948184569660053,0.9690485467093715,0.5921873884964931,0.9728176916503687,0.9979723769614302,0.4575321708834292,0.3801498965596253,0.9315510193452592,0.993447677100531,0.9977464697509363,0.646597958312997,0.44387480078576463,0.8585374375359256,0.25441268447088045,0.996523769150749,0.9385241631762744,0.9812096120509574,0.9641638557806876,0.967076273525341
中西區,0.4350345386557261,0.42527119838958555,1.0,0.8736748047540747,0.5476711426622817,0.4279324152045266,0.9785236213372202,0.2208918807268228,0.3978366554691567,0.9566096337358397,0.5054002033669805,0.410950791855168,0.43889591472309286,0.8426845652101329,0.46715771289449126,0.9813663594013914,0.4243769471605536,0.44566347595783234,0.43479674216113123,0.41373872050660593,0.357515931917512,0.562745274496107,0.46458523678021935,0.7391703240595762,0.9451117117633733,0.44479105064171376,0.4379609731906929,0.43015426736005874,0.841204285888886,0.9541389566147754,0.6517246470233412,0.2137535871056556,0.44524744400030797,0.5940289464792297,0.4495331442020716,0.5799635626477033,0.39562139745431185
仁德區,0.6507381358713956,0.6499362866081311,0.8736748047540747,1.0,0.6843615166551692,0.6444322841805258,0.8382298215244279,0.219077591967205,0.6306292536032315,0.8076468293507316,0.672120834064099,0.6347845431612797,0.6545112100435543,0.7936023292649192,0.6632263952915839,0.921122807699418,0.6501913342450687,0.6553806222932334,0.6490165264913154,0.6252032102288699,0.4336017182146142,0.6829574570069366,0.6629834611400115,0.914789401134367,0.7506257650241792,0.6282500279447946,0.6528512827330744,0.6514586262357919,0.9796267948468018,0.8170369791560257,0.647455111489242,0.21701119315182443,0.6544022508751315,0.6876472921792012,0.651162409914079,0.6862638690640157,0.6194868173661932
佳里區,0.9732672528202218,0.9774149556523533,0.5476711426622817,0.6843615166551692,1.0000000000000002,0.9749142958657508,0.590959827080413,0.3465519391896482,0.9459800140453447,0.5115546787151182,0.9922498908770068,0.9500638417120638,0.9828189294779537,0.46990198696867164,0.9850890857324615,0.5501413121049056,0.9791070428517143,0.9800230367163542,0.9698583484811192,0.930544365280997,0.6640770118170224,0.9931644905578596,0.986157707823763,0.4740261358810532,0.5343713974785282,0.9496633692702949,0.9833693103747911,0.9767762557262428,0.6800102606199329,0.5850374406290377,0.9285121606021091,0.3447441288394355,0.9753358604784812,0.9693272581629938,0.981033682350203,0.997100711897086,0.9235814877264573
六甲區,0.96379478543176,0.980253342066271,0.4279324152045266,0.6444322841805258,0.9749142958657508,1.0,0.46616286755673114,0.4393589378656705,0.9334369490162798,0.38996464411929527,0.9707960740642443,0.9341690943066976,0.9853424826027055,0.40375168769367925,0.9709552823864663,0.4553106424829379,0.9864514516894748,0.9726097357685329,0.9565960570878285,0.9014408163622161,0.7385426739451315,0.9526655981022937,0.9754539277666301,0.47875792712275295,0.40110381488771285,0.9844611312520125,0.9962269524934328,0.974142021814858,0.6416732216247828,0.4829441834471705,0.8680550718728106,0.4397144649811994,0.9623138912701507,0.9022262308307789,0.999120426869395,0.9585606765066893,0.8978107126793973
北區,0.4639896797761985,0.45603447330665936,0.9785236213372202,0.8382298215244279,0.590959827080413,0.46616286755673114,0.9999999999999997,0.26239208767422506,0.4217959298524832,0.9847224878753316,0.5346012562405725,0.43349691130783896,0.4706214746361137,0.8861916383715415,0.5004543194268782,0.930167948041154,0.4574186063637151,0.47494489400189127,0.46479185740232026,0.43167801402118344,0.4053976133530979,0.5935748978357479,0.4974756378453461,0.6645930886195504,0.9861402491897553,0.4895103886291865,0.4734883078957374,0.46790898271006,0.7984329646378889,0.9856532416726165,0.6598397092865367,0.2560332402769989,0.4754125971267122,0.6528639983968957,0.48491699390494897,0.6205422731308103,0.41787669231242847
北門區,0.18843183257463725,0.2543231524212548,0.2208918807268228,0.219077591967205,0.3465519391896482,0.4393589378656705,0.26239208767422506,1.0,0.0885664320591439,0.23278577912282902,0.2625207014154592,0.09276339656036808,0.28381734337784276,0.29021962533288287,0.2277661152844755,0.22838488306553,0.28651595753588527,0.22606910701894492,0.16394787938260938,0.013942981754751204,0.9295259574218796,0.26599280042386864,0.2455764836912689,0.27066688640792425,0.2922748126189763,0.587366736358896,0.36278848043695694,0.2326051092991747,0.22019713957090417,0.3961568238099618,0.3997403072731009,0.9999116872944749,0.18587865328425812,0.171481009639095,0.43514381544124764,0.33330392401663506,0.0007417926336545197
南化區,0.9943720033507544,0.9858326525168679,0.3978366554691567,0.6306292536032315,0.9459800140453447,0.9334369490162798,0.4217959298524832,0.0885664320591439,1.0,0.34735708901573203,0.9749383324910634,0.9997045923181682,0.9800418536699776,0.33340810461388015,0.9872218184840491,0.4245588091277532,0.9795993131616997,0.9894322639810172,0.995996644601049,0.9955914184646858,0.4486581113552992,0.9553192307878896,0.9850824231708115,0.42411892411764635,0.3382512878031575,0.8574779844112395,0.9602417466326445,0.9870370406541681,0.6269716685918989,0.38621889319385994,0.8144075144233248,0.08868513326357666,0.9939801849122495,0.9357183249032819,0.9351272402042754,0.9344503858817189,0.9958080320733625
南區,0.3872412154946501,0.3789851181585831,0.9566096337358397,0.8076468293507316,0.5115546787151182,0.38996464411929527,0.9847224878753316,0.23278577912282902,0.34735708901573203,0.9999999999999997,0.45162811353004134,0.35743433825675813,0.3928577602953378,0.938976158890176,0.4226637182743859,0.8973625445723113,0.38098341461799184,0.39672918573086147,0.39012399534571285,0.35592756319088825,0.3523067419242061,0.5085011716209619,0.41887517142065434,0.6228468857713471,0.9743682750850788,0.4161827687147313,0.3964517916896765,0.3963292866317616,0.7463639850640192,0.9772812835937812,0.5648063603968936,0.22722694523187384,0.3983188119612987,0.5794446606111652,0.4060072182849661,0.5409830599686841,0.345836739074187
善化區,0.9913352024538398,0.9910400991546319,0.5054002033669805,0.672120834064099,0.9922498908770068,0.9707960740642443,0.5346012562405725,0.2625207014154592,0.9749383324910634,0.45162811353004134,0.9999999999999998,0.9784199933200572,0.9929057191417991,0.4114478987484764,0.9965767331283951,0.52018555502173,0.9895281744076796,0.994696873072297,0.9887459410652749,0.964861674899411,0.5975285657758606,0.9949148250901305,0.9969066961734682,0.4625675407523101,0.46673014910630106,0.9274305347942297,0.9859309595667618,0.9880239364087443,0.6677591831509362,0.5181880268905967,0.9143279181892285,0.26091372405594787,0.9925057125830019,0.9636708087663687,0.9769366798637678,0.9874097768041853,0.9582023411572472
