查詢區,相似區1,相似度1,相似區2,相似度2,相似區3,相似度3,平均相似度,最高相似度,最低相似度
七股區,西港區,0.9998403322492859,山上區,0.9994429813459471,將軍區,0.9991791570916905,0.7794781240713113,0.9998403322492859,0.18819385781804257
下營區,學甲區,0.9993855262753858,官田區,0.9993738887853848,將軍區,0.9988183856086751,0.7845033374343283,0.9993855262753858,0.2543231524212548
中西區,安平區,0.9813663594013914,北區,0.9785236213372202,南區,0.9566096337358397,0.5593257796055041,0.9813663594013914,0.2137535871056556
仁德區,歸仁區,0.9796267948468018,安平區,0.921122807699418,新營區,0.914789401134367,0.6737637998548477,0.9796267948468018,0.21701119315182443
佳里區,麻豆區,0.997100711897086,新化區,0.9931644905578596,善化區,0.9922498908770068,0.8135767259201345,0.997100711897086,0.3447441288394355
六甲區,鹽水區,0.999120426869395,柳營區,0.9962269524934328,官田區,0.9864514516894748,0.7892068548116331,0.999120426869395,0.38996464411929527
北區,東區,0.9861402491897553,永康區,0.9856532416726165,南區,0.9847224878753316,0.5826899609061449,0.9861402491897553,0.2560332402769989
北門區,白河區,0.9999116872944749,後壁區,0.9295259574218796,東山區,0.587366736358896,0.2960466678875684,0.9999116872944749,0.0007417926336545197
南化區,大內區,0.9997045923181682,山上區,0.995996644601049,龍崎區,0.9958080320733625,0.7520515071172983,0.9997045923181682,0.0885664320591439
南區,北區,0.9847224878753316,永康區,0.9772812835937812,東區,0.9743682750850788,0.5237134840371628,0.9847224878753316,0.22722694523187384
善化區,新市區,0.9969066961734682,安定區,0.9965767331283951,新化區,0.9949148250901305,0.8012207402664485,0.9969066961734682,0.26091372405594787
大內區,南化區,0.9997045923181682,山上區,0.9965342622813546,左鎮區,0.996337635662547,0.7561000765740529,0.9997045923181682,0.09256427581501733
學甲區,官田區,0.9996495160291533,下營區,0.9993855262753858,新市區,0.9980822832332923,0.7905913453047873,0.9996495160291533,0.28369944221440674
安南區,南區,0.938976158890176,永康區,0.912765128805757,北區,0.8861916383715415,0.4959793439872069,0.938976158890176,0.28838205597314487
安定區,新市區,0.9997628259618117,將軍區,0.9992809717969735,西港區,0.9987282086184894,0.7923979082705357,0.9997628259618117,0.2271255264885912
安平區,中西區,0.9813663594013914,北區,0.930167948041154,仁德區,0.921122807699418,0.5696291647557835,0.9813663594013914,0.22189977069333353
官田區,學甲區,0.9996495160291533,下營區,0.9993738887853848,將軍區,0.9968778939245366,0.7869940986778865,0.9996495160291533,0.28651595753588527
將軍區,新市區,0.9993663278797368,安定區,0.9992809717969735,七股區,0.9991791570916905,0.7867249188921759,0.9993663278797368,0.22566945126086538
山上區,七股區,0.9994429813459471,西港區,0.9994085906067047,將軍區,0.9975762913732525,0.7759129025984284,0.9994429813459471,0.16374096678257216
左鎮區,龍崎區,0.9989449058940896,大內區,0.996337635662547,南化區,0.9955914184646858,0.7378525055777359,0.9989449058940896,0.013312738867001628
後壁區,北門區,0.9295259574218796,白河區,0.9293388950242192,東山區,0.8441435645860906,0.5545008808481287,0.9295259574218796,0.3523067419242061
新化區,善化區,0.9949148250901305,麻豆區,0.9946577816507695,佳里區,0.9931644905578596,0.8055896357067728,0.9949148250901305,0.2632219614337833
新市區,安定區,0.9997628259618117,將軍區,0.9993663278797368,學甲區,0.9980822832332923,0.7936909122470591,0.9997628259618117,0.24497980670592137
新營區,歸仁區,0.9493618562936427,仁德區,0.914789401134367,安平區,0.8392988919669057,0.5098976257593235,0.9493618562936427,0.27002056299433025
東區,北區,0.9861402491897553,永康區,0.9827186006768527,南區,0.9743682750850788,0.5267704020471337,0.9861402491897553,0.28554410654829515
東山區,六甲區,0.9844611312520125,鹽水區,0.9834652275537623,柳營區,0.9670019841754727,0.7752745722139621,0.9844611312520125,0.4161827687147313
柳營區,官田區,0.9966795866453938,鹽水區,0.9966066163527987,學甲區,0.9963900570545777,0.7937961489892735,0.9966795866453938,0.36278848043695694
楠西區,下營區,0.9977464697509363,將軍區,0.9972946394806962,七股區,0.9970049879647731,0.7838467536717061,0.9977464697509363,0.2326051092991747
歸仁區,仁德區,0.9796267948468018,新營區,0.9493618562936427,安平區,0.9046496869734022,0.66266772988624,0.9796267948468018,0.21814991128338812
永康區,北區,0.9856532416726165,東區,0.9827186006768527,南區,0.9772812835937812,0.5800354873539898,0.9856532416726165,0.36923107026097585
玉井區,麻豆區,0.9464071284473013,新化區,0.9428938362108285,佳里區,0.9285121606021091,0.7617467594210416,0.9464071284473013,0.39346555899904023
白河區,北門區,0.9999116872944749,後壁區,0.9293388950242192,東山區,0.5874538819869121,0.2942481226794544,0.9999116872944749,0.0006500170452968219
西港區,七股區,0.9998403322492859,山上區,0.9994085906067047,將軍區,0.9990385417183388,0.7817810914374442,0.9998403322492859,0.18549028462513054
關廟區,新化區,0.9750479533736378,麻豆區,0.9717725975020214,佳里區,0.9693272581629938,0.7880186519335679,0.9750479533736378,0.16912623992724463
鹽水區,六甲區,0.999120426869395,柳營區,0.9966066163527987,官田區,0.9867955389856036,0.7949942394148394,0.999120426869395,0.4060072182849661
麻豆區,佳里區,0.997100711897086,新化區,0.9946577816507695,善化區,0.9874097768041853,0.8122543472372361,0.997100711897086,0.3306534938262197
龍崎區,左鎮區,0.9989449058940896,南化區,0.9958080320733625,大內區,0.9955082359744717,0.7311326848031157,0.9989449058940896,0.0006500170452968219
