,七股區,下營區,中西區,仁德區,佳里區,六甲區,北區,北門區,南化區,南區,善化區,大內區,學甲區,安南區,安定區,安平區,官田區,將軍區,山上區,左鎮區,後壁區,新化區,新市區,新營區,東區,東山區,柳營區,楠西區,歸仁區,永康區,玉井區,白河區,西港區,關廟區,鹽水區,麻豆區,龍崎區
七股區,0.0,0.14991065111973365,0.27546512680830576,0.06614329026590612,0.6729196198764262,0.01463146617979125,0.2979975395282417,0.26412990547599213,0.00010711333407453558,0.1521417425707205,0.15576037827245284,0.015394916745403869,0.28921069653757187,0.6522308216499325,0.4417956536831473,0.3155059098033332,0.0446880071857844,0.6482083957771262,0.03177518014055753,0.0065016634231947175,0.0026127955522385277,0.049226232975579265,0.16281058959261835,0.03057348616564238,0.1587754391114951,0.0011174208064817952,0.0156141641044848,0.0002670771097154606,0.03309284867931606,0.2012803209618759,0.002367163751302466,0.00015892637803925917,0.6240299185073128,0.017285133710552496,0.06761182222493987,0.32522402913311343,0.004761057233741801
下營區,0.14991065111973365,0.0,0.039413154610779384,0.010550841157776478,0.5686745215349409,0.5425293435020031,0.061179878517539234,0.3671847559205211,0.0132447731371994,0.012999065872153359,0.6081494652079301,0.2921332237165078,0.7240383128228526,0.09316739404337662,0.3713595140823989,0.027012668205294976,0.6664625821188465,0.40910804209272156,0.22471197081869018,0.03792197142621053,0.28805828653151105,0.09748349422609154,0.2968893849303804,0.7343385037536403,0.03297596016810398,0.2008709837876695,0.6385495829918366,0.04588931913277624,0.012309483359930224,0.10597081687725407,0.08177149720114157,0.08234669822235255,0.4495736476234084,0.01342781112705093,0.7738139952560144,0.8585623094705003,0.008192919111430878
中西區,0.27546512680830576,0.039413154610779384,0.0,0.767801604178374,0.20150233832147615,0.011029389050389204,0.981320546606714,0.010916136633146547,0.0015792291388972402,0.9193163897952386,0.1921450186846059,0.04261360214210153,0.028134599487335633,0.7928002450601351,0.523884669661426,0.9595861326802931,0.04207131066646066,0.07047216364524944,0.13376290854147976,0.10393794025149321,0.0002355724221416506,0.36224002742625866,0.41783770531531333,0.003965332023882446,0.9370946511261737,0.0007309101790560965,0.005321105186834032,0.0012927856992836155,0.5575445065800827,0.7979528453777536,0.016998553321874436,4.271853393171191e-05,0.40260248944331056,0.36829399700280063,0.006116150538057735,0.1356528234571212,0.16262583289550017
仁德區,0.06614329026590612,0.010550841157776478,0.767801604178374,0.0,0.05330266092458398,0.005037043352019632,0.729982402000273,0.0012013941259546885,0.0028766348621031253,0.8728641798710658,0.10148039958034247,0.034216022239491516,0.004649632094632041,0.3714411482349559,0.2578893305278252,0.6683621969387942,0.02059009776567255,0.011682146332941921,0.12547260400251148,0.1768970767438873,4.281733243111274e-05,0.4185964665163534,0.29927570346361065,0.0008061691741543396,0.9074977371782925,0.00033046041794609313,0.001703893491624151,0.0014404507239493564,0.8843745916017538,0.6665605092283157,0.02142306569401777,1.3404383128470781e-05,0.14978059604661056,0.6660742688942424,0.0010303342565991043,0.04332984018293913,0.37398444970224715
佳里區,0.6729196198764262,0.5686745215349409,0.20150233832147615,0.05330266092458398,0.0,0.12668354172832566,0.2560004692177234,0.45448729065548726,0.0018127154294995884,0.08980767290583856,0.4927797609449841,0.10352569759056023,0.6738424973989089,0.45602405223610387,0.6925897985871756,0.18128855737160232,0.2576994499568444,0.8091847013781028,0.13855385545485585,0.02741122472531917,0.03411486514700394,0.1228620289655379,0.3749555730609572,0.20216499806282645,0.14040872538873905,0.019763683216449113,0.1368832863954807,0.005019330050080628,0.03983805662294345,0.26770944595646445,0.021746736155830157,0.004394136870446332,0.8895492259841513,0.02939468275268733,0.314177342662049,0.8236054340220774,0.011862645427042044
六甲區,0.01463146617979125,0.5425293435020031,0.011029389050389204,0.005037043352019632,0.12668354172832566,0.0,0.019388947589820862,0.04498888732972701,0.14617638443868203,0.0035538606410259275,0.4919356877118034,0.6817270377005114,0.16584251731927882,0.01651266468944181,0.1464477682752965,0.005552810578852115,0.8887653139807917,0.0522839335644662,0.397746337819577,0.107186287848669,0.36058610199774216,0.1217095851166822,0.23012203749715876,0.533010128978132,0.013398131291447934,0.7180729442167689,0.8841485622550653,0.37004720869316915,0.010106960195549625,0.0558022214846787,0.37332909014108123,0.32966558681788133,0.12820588791600013,0.017024327673380794,0.344439231632183,0.3695908289621311,0.01818857058838821
北區,0.2979975395282417,0.061179878517539234,0.981320546606714,0.729982402000273,0.2560004692177234,0.019388947589820862,0.0,0.015614931143762247,0.002794953874582712,0.8435022151245515,0.2681260293388929,0.06708309871104934,0.041255996500783064,0.8092012056612351,0.6330013249840704,0.9027139545252383,0.06730510249650687,0.09033445929788056,0.18890198178531897,0.1373526065060977,0.0004957074783546984,0.4444216711764529,0.5283537470153408,0.007128685268487245,0.9360570205968917,0.001499721557385607,0.00971575179178198,0.0024572146788327783,0.5666620151039011,0.8830549500924225,0.027363508858511645,0.00010005493257250312,0.49005319980664425,0.39796512598009604,0.010384113072168365,0.18968800859384852,0.18627336356395935
北門區,0.26412990547599213,0.3671847559205211,0.010916136633146547,0.0012013941259546885,0.45448729065548726,0.04498888732972701,0.015614931143762247,0.0,7.64671240796811e-05,0.003093041211062201,0.09124814036255927,0.012514373332059603,0.8268548487085084,0.05709238666520953,0.10964653633072259,0.01056498683048118,0.06909134730309577,0.7710838276225678,0.01077364204138336,0.0007493789556413929,0.07033895996499961,0.005334832922477573,0.036112601251948054,0.2620966742671262,0.005485899277190846,0.009481855222575698,0.09035424875663603,0.0005171444446283201,0.0007483453461163035,0.015887029538340158,0.0013626134472085572,0.004738480758502597,0.22027789335649714,0.0005045582367084041,0.49042568627335564,0.3336091287835317,0.0001562814913927513
南化區,0.00010711333407453558,0.0132447731371994,0.0015792291388972402,0.0028766348621031253,0.0018127154294995884,0.14617638443868203,0.002794953874582712,7.64671240796811e-05,0.0,0.0007741831112640667,0.060337648334627916,0.3604249585617145,0.000924073342377028,0.0006648088132596892,0.010311474963877645,0.0005462285824727119,0.12427983888799536,0.00020985266454598734,0.2464471385517363,0.2925654849694212,0.006453756334630534,0.094469672049191,0.051260371925558365,0.008772779487536254,0.003812858334706255,0.1502939918982026,0.053194578192275514,0.7763821472054065,0.011769972918984946,0.01362954473070468,0.7268599341726338,0.03496283304394958,0.004235781367871563,0.03322569328397759,0.002920052106031668,0.011328900605243374,0.07985587318447088
南區,0.1521417425707205,0.012999065872153359,0.9193163897952386,0.8728641798710658,0.08980767290583856,0.0035538606410259275,0.8435022151245515,0.003093041211062201,0.0007741831112640667,0.0,0.09204069350475694,0.01935443368764281,0.008710242704138007,0.5888139028826764,0.3056613592481979,0.9126561831641331,0.015986719326856517,0.02679690818826792,0.0752156600855889,0.07780749779273834,4.336268096777061e-05,0.26920207846632316,0.25561013723491016,0.0009603040292669284,0.9012580143521662,0.00018556812905831638,0.0014493673965600498,0.00048803050423159406,0.6088178001533292,0.6271967533256484,0.008584900395115608,7.916270040980576e-06,0.2129233954736722,0.3816175605079708,0.001524140721872604,0.05540420654895655,0.16616432955194868
