,七股區,下營區,中西區,仁德區,佳里區,六甲區,北區,北門區,南化區,南區,善化區,大內區,學甲區,安南區,安定區,安平區,官田區,將軍區,山上區,左鎮區,後壁區,新化區,新市區,新營區,東區,東山區,柳營區,楠西區,歸仁區,永康區,玉井區,白河區,西港區,關廟區,鹽水區,麻豆區,龍崎區
七股區,0.0,0.04497319533592009,0.08263953804249173,0.019842987079771838,0.20187588596292785,0.004389439853937375,0.08939926185847251,0.07923897164279764,3.213400022236067e-05,0.045642522771216144,0.046728113481735854,0.00461847502362116,0.08676320896127156,0.19566924649497974,0.1325386961049442,0.09465177294099995,0.013406402155735318,0.19446251873313786,0.00953255404216726,0.0019504990269584152,0.0007838386656715583,0.014767869892673778,0.048843176877785506,0.009172045849692714,0.04763263173344853,0.00033522624194453856,0.00468424923134544,8.012313291463819e-05,0.009927854603794818,0.06038409628856277,0.0007101491253907398,4.767791341177775e-05,0.18720897555219385,0.005185540113165749,0.02028354666748196,0.09756720873993403,0.0014283171701225403
下營區,0.04497319533592009,0.0,0.011823946383233815,0.003165252347332943,0.17060235646048227,0.16275880305060092,0.018353963555261768,0.11015542677615632,0.00397343194115982,0.0038997197616460074,0.18244483956237903,0.08763996711495234,0.21721149384685576,0.027950218213012985,0.11140785422471967,0.008103800461588493,0.19993877463565393,0.12273241262781646,0.06741359124560706,0.011376591427863158,0.08641748595945331,0.02924504826782746,0.08906681547911412,0.2203015511260921,0.009892788050431194,0.060261295136300845,0.19156487489755097,0.013766795739832872,0.003692845007979067,0.03179124506317622,0.024531449160342472,0.024704009466705763,0.13487209428702251,0.004028343338115279,0.2321441985768043,0.2575686928411501,0.0024578757334292635
中西區,0.08263953804249173,0.011823946383233815,0.0,0.23034048125351217,0.06045070149644284,0.003308816715116761,0.2943961639820142,0.0032748409899439643,0.00047376874166917205,0.27579491693857155,0.05764350560538177,0.012784080642630459,0.008440379846200689,0.23784007351804054,0.1571654008984278,0.28787583980408793,0.012621393199938198,0.02114164909357483,0.04012887256244393,0.03118138207544796,7.067172664249517e-05,0.10867200822787759,0.125351311594594,0.0011895996071647336,0.2811283953378521,0.00021927305371682894,0.0015963315560502097,0.0003878357097850846,0.1672633519740248,0.23938585361332607,0.00509956599656233,1.2815560179513573e-05,0.12078074683299317,0.11048819910084019,0.0018348451614173206,0.040695847037136364,0.04878774986865005
仁德區,0.019842987079771838,0.003165252347332943,0.23034048125351217,0.0,0.015990798277375193,0.0015111130056058896,0.21899472060008188,0.00036041823778640655,0.0008629904586309376,0.2618592539613197,0.03044411987410274,0.010264806671847454,0.0013948896283896121,0.11143234447048676,0.07736679915834756,0.20050865908163826,0.006177029329701766,0.0035046438998825764,0.03764178120075344,0.05306912302316619,1.2845199729333822e-05,0.12557893995490602,0.0897827110390832,0.00024185075224630187,0.27224932115348777,9.913812538382794e-05,0.0005111680474872453,0.0004321352171848069,0.2653123774805261,0.1999681527684947,0.00642691970820533,4.021314938541234e-06,0.04493417881398317,0.1998222806682727,0.0003091002769797313,0.01299895205488174,0.11219533491067414
佳里區,0.20187588596292785,0.17060235646048227,0.06045070149644284,0.015990798277375193,0.0,0.038005062518497695,0.07680014076531702,0.13634618719664618,0.0005438146288498765,0.02694230187175157,0.14783392828349523,0.031057709277168066,0.20215274921967266,0.13680721567083115,0.20777693957615267,0.0543865672114807,0.07730983498705332,0.24275541041343085,0.041566156636456755,0.00822336741759575,0.01023445954410118,0.03685860868966137,0.11248667191828716,0.06064949941884793,0.04212261761662171,0.005929104964934734,0.04106498591864421,0.0015057990150241882,0.011951416986883035,0.08031283378693933,0.006524020846749047,0.0013182410611338995,0.2668647677952454,0.0088184048258062,0.0942532027986147,0.24708163020662322,0.003558793628112613
六甲區,0.004389439853937375,0.16275880305060092,0.003308816715116761,0.0015111130056058896,0.038005062518497695,0.0,0.005816684276946258,0.013496666198918102,0.043852915331604604,0.0010661581923077782,0.147580706313541,0.2045181113101534,0.04975275519578364,0.0049537994068325425,0.043934330482588956,0.0016658431736556343,0.2666295941942375,0.01568518006933986,0.1193239013458731,0.0321558863546007,0.10817583059932265,0.03651287553500466,0.06903661124914763,0.1599030386934396,0.00401943938743438,0.21542188326503067,0.2652445686765196,0.11101416260795074,0.0030320880586648872,0.016740666445403608,0.11199872704232437,0.0988996760453644,0.03846176637480004,0.005107298302014238,0.10333176948965489,0.11087724868863932,0.005456571176516463
北區,0.08939926185847251,0.018353963555261768,0.2943961639820142,0.21899472060008188,0.07680014076531702,0.005816684276946258,0.0,0.004684479343128674,0.0008384861623748136,0.2530506645373654,0.08043780880166787,0.0201249296133148,0.012376798950234918,0.2427603616983705,0.1899003974952211,0.2708141863575715,0.02019153074895206,0.027100337789364166,0.05667059453559569,0.041205781951829314,0.00014871224350640952,0.13332650135293586,0.15850612410460221,0.0021386055805461732,0.28081710617906747,0.00044991646721568207,0.002914725537534594,0.0007371644036498335,0.16999860453117033,0.26491648502772674,0.008209052657553494,3.0016479771750935e-05,0.14701595994199326,0.1193895377940288,0.0031152339216505096,0.056906402578154554,0.055882009069187805
北門區,0.07923897164279764,0.11015542677615632,0.0032748409899439643,0.00036041823778640655,0.13634618719664618,0.013496666198918102,0.004684479343128674,0.0,2.294013722390433e-05,0.0009279123633186602,0.02737444210876778,0.0037543119996178804,0.24805645461255252,0.017127715999562858,0.03289396089921678,0.003169496049144354,0.02072740419092873,0.2313251482867703,0.003232092612415008,0.00022481368669241786,0.021101687989499882,0.0016004498767432718,0.010833780375584415,0.07862900228013785,0.0016457697831572537,0.0028445565667727093,0.02710627462699081,0.00015514333338849604,0.00022450360383489103,0.0047661088615020475,0.0004087840341625672,0.001421544227550779,0.06608336800694914,0.0001513674710125212,0.1471277058820067,0.10008273863505951,4.688444741782539e-05
南化區,3.213400022236067e-05,0.00397343194115982,0.00047376874166917205,0.0008629904586309376,0.0005438146288498765,0.043852915331604604,0.0008384861623748136,2.294013722390433e-05,0.0,0.00023225493337921999,0.018101294500388374,0.10812748756851435,0.00027722200271310837,0.00019944264397790676,0.0030934424891632937,0.0001638685747418136,0.037283951666398606,6.29557993637962e-05,0.07393414156552089,0.08776964549082636,0.0019361269003891602,0.0283409016147573,0.01537811157766751,0.002631833846260876,0.0011438575004118765,0.04508819756946078,0.015958373457682654,0.23291464416162194,0.0035309918756954834,0.004088863419211403,0.21805798025179016,0.010488849913184873,0.001270734410361469,0.009967707985193277,0.0008760156318095004,0.003398670181573012,0.02395676195534126
南區,0.045642522771216144,0.0038997197616460074,0.27579491693857155,0.2618592539613197,0.02694230187175157,0.0010661581923077782,0.2530506645373654,0.0009279123633186602,0.00023225493337921999,0.0,0.02761220805142708,0.005806330106292844,0.002613072811241402,0.1766441708648029,0.09169840777445935,0.27379685494923994,0.004796015798056955,0.008039072456480376,0.02256469802567667,0.0233422493378215,1.3008804290331184e-05,0.08076062353989695,0.07668304117047305,0.00028809120878007854,0.2703774043056499,5.567043871749491e-05,0.00043481021896801494,0.0001464091512694782,0.18264534004599875,0.18815902599769452,0.0025754701185346823,2.3748810122941725e-06,0.06387701864210166,0.11448526815239124,0.00045724221656178116,0.016621261964686964,0.049849298865584604
善化區,0.046728113481735854,0.18244483956237903,0.05764350560538177,0.03044411987410274,0.14783392828349523,0.147580706313541,0.08043780880166787,0.02737444210876778,0.018101294500388374,0.02761220805142708,0.0,0.18897544947595185,0.0831809508999903,0.07091726163612087,0.2197309012319153,0.03807344665316827,0.23384989473866746,0.06039265858665375,0.21306570005274628,0.08184322930447985,0.01905983120804658,0.15296697133108836,0.2511326982220228,0.07402256625286477,0.06133094777183973,0.04064590739790123,0.10672035468210056,0.030863606552656093,0.039615130052614404,0.137225195596451,0.08626211436853491,0.008504128676484526,0.18880916435310977,0.045053408866883596,0.06946132428864028,0.2335818935561893,0.03275916779777426
