村里,區域,kmeans_cluster,hierarchical_cluster
中西區-五條港里,中西區,1,2
中西區-光賢里,中西區,0,2
中西區-兌悅里,中西區,1,2
中西區-南廠里,中西區,0,1
中西區-南美里,中西區,0,1
中西區-南門里,中西區,0,1
中西區-城隍里,中西區,0,2
中西區-大涼里,中西區,1,2
中西區-小西門里,中西區,1,3
中西區-府前里,中西區,0,2
中西區-永華里,中西區,1,2
中西區-法華里,中西區,0,2
中西區-淺草里,中西區,1,2
中西區-藥王里,中西區,1,1
中西區-西和里,中西區,1,1
中西區-西湖里,中西區,1,3
中西區-西賢里,中西區,1,3
中西區-赤嵌里,中西區,1,2
中西區-郡王里,中西區,0,1
中西區-開山里,中西區,0,2
仁德區-一甲里,仁德區,1,2
仁德區-上崙里,仁德區,0,2
仁德區-中洲里,仁德區,1,3
仁德區-二行里,仁德區,1,3
仁德區-仁和里,仁德區,1,3
仁德區-仁德里,仁德區,1,2
仁德區-仁愛里,仁德區,0,2
仁德區-仁義里,仁德區,0,2
仁德區-保安里,仁德區,0,2
仁德區-土庫里,仁德區,0,0
仁德區-大甲里,仁德區,0,2
仁德區-太子里,仁德區,0,0
仁德區-後壁里,仁德區,1,2
仁德區-成功里,仁德區,1,1
仁德區-文賢里,仁德區,1,1
仁德區-新田里,仁德區,1,2
北區-中樓里,北區,0,1
北區-仁愛里,北區,0,1
北區-元寶里,北區,0,1
北區-元美里,北區,1,3
北區-公園里,北區,0,1
北區-力行里,北區,0,2
北區-北華里,北區,0,2
北區-北門里,北區,0,1
北區-合興里,北區,0,1
北區-和順里,北區,0,2
北區-大光里,北區,0,1
北區-大和里,北區,1,1
北區-大港里,北區,0,1
北區-大興里,北區,1,2
北區-大豐里,北區,1,2
北區-小北里,北區,1,2
北區-成功里,北區,1,2
北區-成德里,北區,0,2
北區-振興里,北區,0,2
北區-文元里,北區,0,2
北區-文成里,北區,0,1
北區-東興里,北區,1,4
北區-正覺里,北區,1,1
北區-永祥里,北區,1,3
北區-福德里,北區,0,2
北區-立人里,北區,0,1
北區-華德里,北區,1,2
北區-賢北里,北區,0,2
北區-重興里,北區,0,1
北區-長勝里,北區,1,1
北區-長興里,北區,0,2
北區-開元里,北區,0,1
北區-雙安里,北區,0,2
南區-佛壇里,南區,1,2
南區-光明里,南區,1,1
南區-再興里,南區,0,2
南區-南華里,南區,0,0
南區-南都里,南區,0,1
南區-同安里,南區,1,3
南區-喜北里,南區,0,1
南區-喜南里,南區,0,2
南區-喜東里,南區,0,1
南區-國宅里,南區,0,1
南區-大忠里,南區,0,1
南區-大恩里,南區,0,1
南區-大成里,南區,1,3
南區-大林里,南區,1,3
南區-府南里,南區,0,1
南區-廣州里,南區,0,1
南區-建南里,南區,0,2
南區-彰南里,南區,0,2
南區-文南里,南區,0,2
南區-文華里,南區,0,1
南區-新昌里,南區,1,1
南區-新生里,南區,0,2
南區-新興里,南區,0,1
南區-明亮里,南區,0,1
南區-明德里,南區,1,3
南區-明興里,南區,0,1
南區-松安里,南區,1,3
南區-永寧里,南區,1,3
南區-田寮里,南區,0,1
南區-省躬里,南區,0,2
南區-竹溪里,南區,1,3
南區-興農里,南區,0,2
南區-郡南里,南區,0,2
南區-金華里,南區,0,1
南區-開南里,南區,1,3
南區-鯤鯓里,南區,1,3
南區-鹽埕里,南區,1,1
安平區-億載里,安平區,0,1
安平區-國平里,安平區,0,2
安平區-天妃里,安平區,1,3
安平區-平安里,安平區,1,3
安平區-平通里,安平區,0,0
安平區-建平里,安平區,0,2
安平區-怡平里,安平區,0,2
安平區-文平里,安平區,0,0
安平區-漁光里,安平區,1,3
安平區-王城里,安平區,1,3
安平區-育平里,安平區,0,0
安平區-華平里,安平區,0,2
安平區-金城里,安平區,1,3
東區-中西里,東區,0,1
東區-仁和里,東區,0,1
東區-南聖里,東區,0,2
東區-和平里,東區,0,2
東區-圍下里,東區,0,1
東區-大同里,東區,0,1
東區-大學里,東區,0,1
東區-大德里,東區,0,1
東區-大智里,東區,0,0
東區-大福里,東區,0,1
東區-富強里,東區,0,1
東區-富裕里,東區,0,2
東區-小東里,東區,1,1
東區-崇信里,東區,0,0
東區-崇善里,東區,0,1
東區-崇學里,東區,0,2
東區-崇德里,東區,0,2
東區-崇成里,東區,0,0
東區-崇文里,東區,0,0
東區-崇明里,東區,0,2
東區-崇誨里,東區,0,1
東區-後甲里,東區,1,3
東區-復興里,東區,0,1
東區-德光里,東區,0,2
東區-德高里,東區,0,2
