村里,區域,mean,std,min,max,q25,q75,median,change_mean,change_std,change_max,change_min,acf_1,acf_2,acf_3,trend,seasonal_peak,seasonal_amplitude,outlier_count,outlier_ratio,zero_count,zero_ratio,consecutive_max,consecutive_nonzero_max,kmeans_cluster,hierarchical_cluster
中西區-五條港里,中西區,114.09803921568627,140.74789588508392,0.0,673.0,17.5,157.5,59.0,0.0,0.0,0.0,-1.0,0.32766669048312075,0.3174175960563743,0.40835038617049596,2.079728506787329,9,3.605683213471321,2,0.0392156862745098,8,0.1568627450980392,4,26,1,2
中西區-光賢里,中西區,73.88235294117646,82.84000170420654,0.0,319.0,9.5,100.5,46.0,0.0,0.0,0.0,-1.0,0.391863660642694,0.36139308752567745,0.3360307709532,0.7245248868778279,9,2.823149394347241,4,0.0784313725490196,9,0.17647058823529413,3,32,0,2
中西區-兌悅里,中西區,94.03921568627452,97.30405146432777,0.0,499.0,32.5,107.0,73.0,0.0,0.0,0.0,-1.0,0.28838984406491874,0.19410023581288852,0.4032672634886376,0.5429864253393656,9,2.7219387755102042,6,0.11764705882352941,2,0.0392156862745098,1,26,1,2
中西區-南廠里,中西區,65.13725490196079,76.00447871220304,0.0,321.0,14.0,86.5,43.0,0.0,0.0,0.0,-1.0,0.07527319040401947,0.18393099834813284,0.22671310681314832,0.35321266968325815,9,2.857317073170732,4,0.0784313725490196,8,0.1568627450980392,3,27,0,1
中西區-南美里,中西區,71.43137254901961,69.67933837285219,0.0,314.0,17.5,98.0,51.0,0.0,0.0,0.0,-1.0,0.24601631399985047,0.06783608684524198,0.10736735174069342,1.1980995475113108,9,1.9850402761795165,3,0.058823529411764705,7,0.13725490196078433,3,24,0,1
中西區-南門里,中西區,87.49019607843137,60.28478167797229,0.0,259.0,39.5,108.0,87.0,0.0,0.0,0.0,-1.0,0.3204395816516354,0.06488747316549014,0.01384793757769369,0.0230769230769225,6,1.3696997478798991,4,0.0784313725490196,2,0.0392156862745098,1,24,0,1
中西區-城隍里,中西區,78.54901960784314,124.50402623618085,0.0,549.0,0.0,84.5,36.0,0.0,0.0,0.0,-1.0,0.4168120245387536,0.41654255427772435,0.37607975412075273,2.434117647058823,9,4.3614518147684604,5,0.09803921568627451,17,0.3333333333333333,5,17,0,2
中西區-大涼里,中西區,106.43137254901961,137.4081882424713,0.0,589.0,9.0,149.5,52.0,0.0,0.0,0.0,-1.0,0.35207275347655914,0.3163453539930582,0.5833043698620513,2.1439819004524883,7,2.9108469539375927,3,0.058823529411764705,10,0.19607843137254902,3,22,1,2
中西區-小西門里,中西區,99.23529411764706,84.91845223160726,0.0,381.0,42.5,142.5,74.0,0.0,0.0,0.0,-1.0,0.5830939977319014,0.655709850495461,0.5558679916440493,1.368597285067873,7,2.5579937304075235,2,0.0392156862745098,5,0.09803921568627451,2,42,1,3
中西區-府前里,中西區,55.627450980392155,58.819031200560836,0.0,219.0,10.0,83.5,39.0,0.0,0.0,0.0,-1.0,0.3647167105559969,0.41116519913984034,0.19619894882115774,1.4272398190045248,9,2.5336426914153134,3,0.058823529411764705,10,0.19607843137254902,3,20,0,2
中西區-永華里,中西區,84.56862745098039,87.31580725205735,0.0,423.0,20.0,117.0,76.0,0.0,0.0,0.0,-1.0,0.4941985937596028,0.4375786226637984,0.5608605159261252,2.395384615384615,9,2.94081293082957,2,0.0392156862745098,10,0.19607843137254902,3,29,1,2
中西區-法華里,中西區,76.54901960784314,101.30494829483705,0.0,419.0,16.0,99.5,37.0,0.0,0.0,0.0,-1.0,0.37718821834863087,0.1946746092255846,0.2761007561456657,1.4047963800904975,9,3.1577311577311575,5,0.09803921568627451,9,0.17647058823529413,2,22,0,2
中西區-淺草里,中西區,112.07843137254902,137.7911235366422,0.0,804.0,37.0,135.0,66.0,0.0,0.0,0.0,-1.0,0.34187486434515285,0.15558753153987634,0.37102135666198494,1.388054298642533,9,2.9778178539224527,5,0.09803921568627451,3,0.058823529411764705,1,27,1,2
中西區-藥王里,中西區,96.94117647058823,90.47284935597106,0.0,387.0,25.0,126.0,81.0,0.0,0.0,0.0,-1.0,0.2880491931132463,0.1759805826365322,0.13850021738791618,0.3961990950226242,7,1.8951295336787566,4,0.0784313725490196,2,0.0392156862745098,1,27,1,1
中西區-西和里,中西區,87.41176470588235,88.82053286725727,0.0,378.0,19.0,134.0,55.0,0.0,0.0,0.0,-1.0,0.3658147005458199,0.40590129046736606,0.25679981798510026,1.1030769230769224,9,2.3556457065584855,3,0.058823529411764705,1,0.0196078431372549,1,47,1,1
中西區-西湖里,中西區,124.2156862745098,146.5305857117196,0.0,904.0,32.0,163.0,86.0,0.0,0.0,0.0,-1.0,0.4012133756659631,0.1978098706858267,0.3210302233068083,3.0830769230769226,9,3.4585238406270413,3,0.058823529411764705,4,0.0784313725490196,2,35,1,3
中西區-西賢里,中西區,135.41176470588235,126.0646146181534,0.0,622.0,41.0,195.0,101.0,0.0,0.0,0.0,-1.0,0.38353920622250676,0.3793076678333554,0.37519242375227696,2.930316742081447,9,2.696997270245678,1,0.0196078431372549,2,0.0392156862745098,1,43,1,3
中西區-赤嵌里,中西區,95.90196078431373,118.77596640768044,0.0,530.0,11.5,146.5,47.0,0.0,0.0,0.0,-1.0,0.48189768303227754,0.22996333235055674,0.3609645542687656,2.790678733031673,9,2.583520752402372,3,0.058823529411764705,11,0.21568627450980393,3,32,1,2
中西區-郡王里,中西區,74.07843137254902,84.65620901912746,0.0,350.0,14.5,111.5,42.0,0.0,0.0,0.0,-1.0,0.2219092551127988,0.22824063197892827,0.13919270404053233,1.4305882352941173,7,2.3263327948303716,3,0.058823529411764705,11,0.21568627450980393,2,14,0,1
中西區-開山里,中西區,81.0,97.88748643212777,0.0,418.0,11.0,114.5,43.0,0.0,0.0,0.0,-1.0,0.5765322843896639,0.5428395919977356,0.43084401569074504,1.7266063348416287,9,3.8409368138570383,3,0.058823529411764705,10,0.19607843137254902,3,29,0,2
仁德區-一甲里,仁德區,113.01960784313725,111.25942480456719,0.0,420.0,26.0,156.0,92.0,0.0,0.0,0.0,-1.0,0.6060087195447275,0.6196187566989362,0.4848579726846078,3.865158371040723,10,2.742226310947562,3,0.058823529411764705,7,0.13725490196078433,2,27,1,2
仁德區-上崙里,仁德區,90.82352941176471,101.77911492685578,0.0,351.0,6.5,133.5,51.0,0.0,0.0,0.0,-1.0,0.38927712046453594,0.4091164481382221,0.5817088789981482,2.8323981900452475,10,2.7920792079207923,2,0.0392156862745098,11,0.21568627450980393,3,29,0,2
仁德區-中洲里,仁德區,129.35294117647058,151.54614129424894,0.0,577.0,25.5,151.5,72.0,0.0,0.0,0.0,-1.0,0.5115837765314116,0.3334875169937443,0.34808625352534145,6.471674208144797,10,2.60082850041425,6,0.11764705882352941,2,0.0392156862745098,1,42,1,3
仁德區-二行里,仁德區,129.84313725490196,176.84268404986614,0.0,880.0,33.5,162.0,56.0,0.0,0.0,0.0,-1.0,0.5512605764116375,0.47091932746302073,0.5479157789167932,4.896108597285067,9,3.2413902555149976,4,0.0784313725490196,3,0.058823529411764705,2,41,1,3
仁德區-仁和里,仁德區,133.80392156862746,134.52643154530537,0.0,579.0,48.0,189.5,76.0,0.0,0.0,0.0,-1.0,0.20962095624339613,0.2784785738979734,0.3084247697867587,1.629954751131221,10,2.336861203507711,4,0.0784313725490196,4,0.0784313725490196,2,27,1,3
仁德區-仁德里,仁德區,104.43137254901961,126.14915852306915,0.0,577.0,25.0,158.0,47.0,0.0,0.0,0.0,-1.0,0.6432365270640418,0.49465514952048417,0.5621073615536847,3.157013574660633,9,3.036882920370721,3,0.058823529411764705,8,0.1568627450980392,3,25,1,2
仁德區-仁愛里,仁德區,69.54901960784314,101.40321764628382,0.0,532.0,0.0,74.5,36.0,0.0,0.0,0.0,-1.0,0.5346946589336518,0.36746662354362114,0.5671505574532343,2.650859728506787,9,3.3212121212121213,7,0.13725490196078433,14,0.27450980392156865,3,23,0,2
仁德區-仁義里,仁德區,68.15686274509804,78.38759405646269,0.0,258.0,8.0,101.5,38.0,0.0,0.0,0.0,-1.0,0.5218525763020619,0.611123279998599,0.5564947933291956,1.8180090497737549,9,2.5522914218566393,2,0.0392156862745098,10,0.19607843137254902,4,26,0,2
仁德區-保安里,仁德區,53.27450980392157,67.89641475994813,0.0,314.0,9.0,82.0,26.0,0.0,0.0,0.0,-1.0,0.4652664867086389,0.4863725944563998,0.6201964767319121,2.1952036199095013,10,3.5483383685800605,3,0.058823529411764705,10,0.19607843137254902,4,30,0,2
仁德區-土庫里,仁德區,55.23529411764706,62.16802658450535,0.0,268.0,0.0,78.0,31.0,0.0,0.0,0.0,-1.0,0.5757456350408945,0.3959687597908841,0.32471798846778144,1.3076018099547506,9,3.4909090909090907,2,0.0392156862745098,16,0.3137254901960784,11,20,0,0
仁德區-大甲里,仁德區,70.15686274509804,91.67057816966569,0.0,398.0,15.5,80.0,42.0,0.0,0.0,0.0,-1.0,0.5625130139869323,0.3789572204194451,0.3695279251693432,2.834027149321266,11,2.990336749633968,6,0.11764705882352941,8,0.1568627450980392,3,36,0,2
仁德區-太子里,仁德區,54.86274509803921,67.30617196300592,0.0,315.0,0.0,69.0,35.0,0.0,0.0,0.0,-1.0,0.45872266266093104,0.4058991495778796,0.47470011436914866,1.7212669683257913,9,2.9967045038447453,3,0.058823529411764705,14,0.27450980392156865,9,18,0,0
仁德區-後壁里,仁德區,77.19607843137256,87.25251162180793,0.0,407.0,20.0,121.5,34.0,0.0,0.0,0.0,-1.0,0.5163782029188436,0.34589403194719215,0.5907593811822761,2.0464253393665146,10,2.484785972150593,2,0.0392156862745098,8,0.1568627450980392,2,35,1,2
仁德區-成功里,仁德區,87.80392156862744,69.76991317404462,0.0,263.0,38.5,129.5,71.0,0.0,0.0,0.0,-1.0,0.21709708864578342,0.2491613522673247,0.4356229858336014,0.5361085972850679,5,1.7182130584192439,0,0.0,6,0.11764705882352941,2,21,1,1
仁德區-文賢里,仁德區,95.3921568627451,89.2775623393409,0.0,363.0,31.5,136.5,64.0,0.0,0.0,0.0,-1.0,0.2814350950885372,0.35137669129288757,0.35363723581734413,-0.1965610859728522,6,2.123937823834197,1,0.0196078431372549,5,0.09803921568627451,2,37,1,1
仁德區-新田里,仁德區,80.09803921568627,75.3634539818766,0.0,308.0,20.5,136.5,59.0,0.0,0.0,0.0,-1.0,0.4669249187525578,0.469018039549709,0.46122024129081063,1.9530316742081442,9,1.8501529051987768,0,0.0,7,0.13725490196078433,3,37,1,2
北區-中樓里,北區,90.49019607843137,113.18434035660933,0.0,691.0,36.0,103.5,65.0,0.0,0.0,0.0,-1.0,0.15345301987381327,0.07029678542621268,0.14071931862711115,0.474298642533936,7,2.706628746444979,4,0.0784313725490196,7,0.13725490196078433,3,21,0,1
北區-仁愛里,北區,63.1764705882353,87.89054690519406,0.0,388.0,9.5,74.0,32.0,0.0,0.0,0.0,-1.0,0.29246391297181235,0.255661822636332,0.15029775854857508,0.01936651583710377,7,2.9203373945641986,6,0.11764705882352941,9,0.17647058823529413,3,11,0,1
北區-元寶里,北區,69.37254901960785,73.57525692359184,0.0,306.0,15.5,92.5,48.0,0.0,0.0,0.0,-1.0,0.23374019104361166,0.13777571593556087,0.2282390375039419,1.3516742081447959,7,1.8100940975192472,3,0.058823529411764705,9,0.17647058823529413,2,23,0,1
北區-元美里,北區,152.45098039215685,142.83561372787813,0.0,631.0,55.0,197.5,131.0,0.0,0.0,0.0,-1.0,0.4426633551716727,0.45067086686245855,0.37016062636007807,1.747692307692306,9,1.9209455022980957,5,0.09803921568627451,3,0.058823529411764705,1,35,1,3
北區-公園里,北區,52.588235294117645,68.82388436308669,0.0,282.0,6.5,68.0,23.0,0.0,0.0,0.0,-1.0,-0.012137998368655206,0.1796116853623353,-0.08211690576907088,-0.4297737556561086,4,2.2997762863534676,4,0.0784313725490196,12,0.23529411764705882,3,20,0,1
北區-力行里,北區,34.431372549019606,30.321117988597177,0.0,123.0,11.0,53.0,27.0,0.0,0.0,0.0,-1.0,0.4690263114151971,0.1818751190457202,0.1880209800021617,0.634389140271493,9,1.9905882352941178,1,0.0196078431372549,9,0.17647058823529413,4,25,0,2
北區-北華里,北區,52.31372549019608,61.267116855970436,0.0,261.0,11.0,77.0,36.0,0.0,0.0,0.0,-1.0,0.5034006967977765,0.31851170938451856,0.37777437165036165,1.0085067873303162,10,2.7751124437781107,3,0.058823529411764705,11,0.21568627450980393,3,20,0,2
北區-北門里,北區,52.01960784313726,67.70745607274827,0.0,336.0,0.0,71.5,29.0,0.0,0.0,0.0,-1.0,0.10387864563889608,0.20259271802446782,0.2205998379673076,0.3961085972850676,7,2.332829046898638,3,0.058823529411764705,14,0.27450980392156865,2,19,0,1
北區-合興里,北區,41.6078431372549,36.72115381159614,0.0,172.0,15.0,60.0,32.0,0.0,0.0,0.0,-1.0,0.20760103520879636,0.038730467670504226,-0.011480328300018959,0.4719457013574658,11,1.1571841851494695,2,0.0392156862745098,5,0.09803921568627451,2,26,0,1
北區-和順里,北區,87.49019607843137,97.12391519065109,0.0,388.0,13.5,122.5,57.0,0.0,0.0,0.0,-1.0,0.6526901048349933,0.4707920951256105,0.47784505686543305,1.210588235294117,9,2.5280143433437923,3,0.058823529411764705,11,0.21568627450980393,4,35,0,2
北區-大光里,北區,38.11764705882353,48.23096393762975,0.0,170.0,0.0,57.5,20.0,0.0,0.0,0.0,-1.0,0.06664049448015351,0.09098205192575792,0.08978170953634702,0.6409049773755656,9,2.4013121924548937,2,0.0392156862745098,17,0.3333333333333333,5,15,0,1
北區-大和里,北區,71.19607843137256,63.753280576874836,0.0,260.0,27.0,99.0,55.0,0.0,0.0,0.0,-1.0,0.3252085367923803,0.41307611431542385,0.36096884654016664,-0.018371040723982067,9,1.4888090632771485,2,0.0392156862745098,4,0.0784313725490196,2,46,1,1
北區-大港里,北區,60.07843137254902,59.682775785734,0.0,277.0,11.5,87.0,38.0,0.0,0.0,0.0,-1.0,0.27643175039544493,0.06343960641133917,0.09523246789638026,-0.10099547511312205,9,2.1513622603430878,2,0.0392156862745098,5,0.09803921568627451,2,33,0,1
北區-大興里,北區,85.68627450980392,79.74647081747968,0.0,411.0,20.0,145.0,74.0,0.0,0.0,0.0,-1.0,0.38413498242381894,0.4758092480850124,0.4021895524845878,0.9969230769230768,7,2.1195876288659794,1,0.0196078431372549,6,0.11764705882352941,1,24,1,2
北區-大豐里,北區,100.50980392156863,100.84649176823548,0.0,361.0,17.0,148.5,70.0,0.0,0.0,0.0,-1.0,0.7004856397219021,0.5489296499095081,0.5020859714569834,0.8514027149321265,7,2.186500195083886,1,0.0196078431372549,9,0.17647058823529413,3,39,1,2
北區-小北里,北區,96.31372549019608,91.2297079236974,0.0,357.0,16.5,158.5,64.0,0.0,0.0,0.0,-1.0,0.3953500565565303,0.42094434411803383,0.4861368024420307,2.3654298642533935,8,2.435836399047825,0,0.0,6,0.11764705882352941,2,26,1,2
北區-成功里,北區,112.29411764705883,113.31960009065456,0.0,401.0,18.0,159.5,90.0,0.0,0.0,0.0,-1.0,0.49349529362810274,0.4796021189164055,0.3722378324828944,1.4835294117647049,7,2.165176223040505,3,0.058823529411764705,9,0.17647058823529413,4,25,1,2
北區-成德里,北區,51.745098039215684,57.84940557594516,0.0,307.0,10.0,77.5,32.0,0.0,0.0,0.0,-1.0,0.37749321737848046,0.26054640192551476,0.34674282807086193,0.8234389140271492,9,2.3215384615384616,1,0.0196078431372549,10,0.19607843137254902,3,34,0,2
北區-振興里,北區,54.294117647058826,57.71387844102909,0.0,224.0,0.0,96.0,34.0,0.0,0.0,0.0,-1.0,0.5315761287697555,0.464485132577541,0.4793186177715708,1.2658823529411762,7,2.5200876552227904,0,0.0,14,0.27450980392156865,6,18,0,2
北區-文元里,北區,66.41176470588235,73.05400097752026,0.0,313.0,5.0,97.0,54.0,0.0,0.0,0.0,-1.0,0.5143974968367337,0.40282268740273053,0.4995934938367075,1.6194570135746598,9,2.3611958511287368,2,0.0392156862745098,13,0.2549019607843137,4,26,0,2
北區-文成里,北區,71.80392156862744,79.61055699034975,0.0,357.0,13.0,100.0,49.0,0.0,0.0,0.0,-1.0,0.13121781231720334,0.04391178547508975,0.2825516433336984,0.8819004524886879,10,1.8055707263790277,3,0.058823529411764705,8,0.1568627450980392,3,33,0,1
北區-東興里,北區,99.07843137254902,91.29246258859598,2.0,338.0,22.0,132.0,77.0,1.0037082230940917,3.0782392412334274,16.666666666666668,-0.9782608695652174,0.3992139358019113,0.23736982001934756,0.3521131333233613,0.3829864253393653,7,1.8169437212096937,2,0.0392156862745098,0,0.0,0,51,1,4
北區-正覺里,北區,97.88235294117646,100.00112940538693,0.0,429.0,27.5,123.5,77.0,0.0,0.0,0.0,-1.0,0.4564422450309636,0.20750070550055502,0.27794243097756877,0.21248868778280525,6,2.079834539813857,4,0.0784313725490196,5,0.09803921568627451,2,22,1,1
北區-永祥里,北區,147.0,138.14745745036353,0.0,469.0,37.0,246.0,91.0,0.0,0.0,0.0,-1.0,0.6284574934668696,0.5906816146745073,0.5411559746127427,-0.07067873303167553,6,2.25,0,0.0,6,0.11764705882352941,2,38,1,3
北區-福德里,北區,48.1764705882353,54.59073396918307,0.0,290.0,6.5,69.0,36.0,0.0,0.0,0.0,-1.0,0.6142662828332949,0.5534981467864567,0.40921836714090515,0.3800904977375564,9,3.3211233211233213,2,0.0392156862745098,9,0.17647058823529413,4,36,0,2
北區-立人里,北區,39.27450980392157,39.10911833901273,0.0,170.0,13.5,56.0,31.0,0.0,0.0,0.0,-1.0,0.2653962226047068,0.36938326264323246,0.12150205183350869,-0.010497737556561242,7,1.8369905956112853,2,0.0392156862745098,11,0.21568627450980393,4,9,0,1
北區-華德里,北區,104.68627450980392,103.42717054934423,0.0,403.0,23.5,145.5,68.0,0.0,0.0,0.0,-1.0,0.34740353052346384,0.26540249497700497,0.5076382374499617,1.973303167420814,10,2.0185430463576157,2,0.0392156862745098,7,0.13725490196078433,3,36,1,2
北區-賢北里,北區,43.411764705882355,46.438422225819956,0.0,219.0,8.0,62.5,34.0,0.0,0.0,0.0,-1.0,0.41396969786244286,0.270288999564959,0.3732668404475028,0.9751131221719452,10,2.16260162601626,2,0.0392156862745098,12,0.23529411764705882,6,29,0,2
北區-重興里,北區,60.03921568627451,78.40305116111584,0.0,409.0,4.5,110.0,29.0,0.0,0.0,0.0,-1.0,0.21663980901695196,-0.03791181657497076,0.1274517004575958,0.8720361990950221,9,2.4222369291859693,1,0.0196078431372549,11,0.21568627450980393,3,22,0,1
北區-長勝里,北區,92.3921568627451,87.34530976105644,0.0,382.0,28.0,153.5,61.0,0.0,0.0,0.0,-1.0,0.25332816201870645,0.4641090683360716,0.26444164689832167,1.620361990950226,7,1.9067357512953367,2,0.0392156862745098,5,0.09803921568627451,2,27,1,1
北區-長興里,北區,47.745098039215684,44.2591654405073,0.0,207.0,16.5,70.0,38.0,0.0,0.0,0.0,-1.0,0.3894077479401752,0.3444138626814366,0.17611209712106882,0.8506787330316739,9,1.603960396039604,1,0.0196078431372549,7,0.13725490196078433,3,34,0,2
北區-開元里,北區,62.509803921568626,64.17830553980671,0.0,262.0,14.0,87.5,48.0,0.0,0.0,0.0,-1.0,-0.005200281782932531,0.27252173572850447,0.2102860908639706,-0.0022624434389143726,5,1.7484954070319925,3,0.058823529411764705,6,0.11764705882352941,1,21,0,1
北區-雙安里,北區,35.96078431372549,35.09413670932153,0.0,133.0,0.0,58.5,32.0,0.0,0.0,0.0,-1.0,0.6025975554432769,0.4627913376848788,0.32633759297922915,0.2305882352941176,9,2.4476295479603087,0,0.0,16,0.3137254901960784,5,14,0,2
南區-佛壇里,南區,94.6470588235294,120.50092506357149,0.0,491.0,16.0,115.0,59.0,0.0,0.0,0.0,-1.0,0.4970444551035017,0.16066312965049567,0.3543358301309755,3.177104072398189,10,3.071534078919603,4,0.0784313725490196,9,0.17647058823529413,2,32,1,2
南區-光明里,南區,74.90196078431373,71.51762157733178,0.0,273.0,21.5,101.5,56.0,0.0,0.0,0.0,-1.0,0.5475927559391456,0.5504261758076051,0.4418869000154929,-0.07719457013574706,6,2.242931937172775,3,0.058823529411764705,5,0.09803921568627451,4,44,1,1
南區-再興里,南區,90.52941176470588,104.26473093835261,0.0,521.0,23.0,91.5,57.0,0.0,0.0,0.0,-1.0,0.48623798905382953,0.1477239395116011,0.29255596835844494,0.52262443438914,7,2.714127791288967,8,0.1568627450980392,5,0.09803921568627451,1,15,0,2
南區-南華里,南區,40.84313725490196,53.19562859822962,0.0,263.0,0.0,55.5,24.0,0.0,0.0,0.0,-1.0,0.19793096965516593,0.36984954152099214,0.16269544329140156,0.49574660633484136,7,2.868939030244839,2,0.0392156862745098,20,0.39215686274509803,10,21,0,0
南區-南都里,南區,84.50980392156863,97.86488084068148,0.0,423.0,15.5,110.5,56.0,0.0,0.0,0.0,-1.0,0.1155254624940513,-0.10876873110250561,0.1033339901389461,0.3621719457013566,9,1.8306036499766025,4,0.0784313725490196,9,0.17647058823529413,2,9,0,1
南區-同安里,南區,156.47058823529412,177.88337223486363,0.0,880.0,15.5,228.0,102.0,0.0,0.0,0.0,-1.0,0.5796241399120624,0.35748782617584896,0.4683721303891987,4.669683257918551,9,2.8295884877556174,2,0.0392156862745098,6,0.11764705882352941,2,31,1,3
南區-喜北里,南區,83.47058823529412,87.74539371184711,0.0,403.0,18.0,114.0,57.0,0.0,0.0,0.0,-1.0,0.0844535893306829,0.2392605696948936,0.07421257499973569,0.34009049773755595,7,2.377629063097514,2,0.0392156862745098,5,0.09803921568627451,2,27,0,1
南區-喜南里,南區,51.666666666666664,64.31630171789004,0.0,352.0,13.5,56.0,36.0,0.0,0.0,0.0,-1.0,0.4667085558135976,0.2180605532824366,0.24168378125403578,0.7847058823529409,9,2.8141176470588234,5,0.09803921568627451,8,0.1568627450980392,3,15,0,2
南區-喜東里,南區,51.3921568627451,73.20084109663564,0.0,396.0,0.0,62.0,27.0,0.0,0.0,0.0,-1.0,0.3477668589643675,0.10691019985563474,0.04264632213889433,0.8824434389140272,9,3.076056338028169,4,0.0784313725490196,14,0.27450980392156865,4,17,0,1
南區-國宅里,南區,59.8235294117647,77.43428333299224,0.0,443.0,20.0,61.0,42.0,0.0,0.0,0.0,-1.0,0.44706455813238427,0.2763493247496677,0.17480479578999403,-0.04208144796380113,7,3.43029490616622,5,0.09803921568627451,7,0.13725490196078433,3,13,0,1
南區-大忠里,南區,29.80392156862745,40.74114363041035,0.0,153.0,4.5,39.5,13.0,0.0,0.0,0.0,-1.0,0.4114465316862799,0.25715076888716987,0.5039359952635324,0.9572850678733028,9,2.882907133243607,5,0.09803921568627451,12,0.23529411764705882,4,23,0,1
南區-大恩里,南區,35.333333333333336,33.6360917269927,0.0,137.0,7.5,59.0,28.0,0.0,0.0,0.0,-1.0,0.156337829948975,0.04970037447656884,0.21787390549211333,0.617013574660633,4,1.5281409891984081,1,0.0196078431372549,8,0.1568627450980392,2,26,0,1
南區-大成里,南區,256.72549019607845,270.0334852148061,0.0,1382.0,72.5,364.5,170.0,0.0,0.0,0.0,-1.0,0.30858518531935425,0.3314669316678681,0.4388929223822825,3.73493212669683,7,2.3581691136060297,2,0.0392156862745098,4,0.0784313725490196,1,26,1,3
南區-大林里,南區,131.15686274509804,117.53678106006129,0.0,461.0,31.5,225.5,90.0,0.0,0.0,0.0,-1.0,0.5986901976343565,0.5531522853302067,0.6139153688321819,3.057375565610859,9,2.080630494089118,0,0.0,5,0.09803921568627451,3,43,1,3
南區-府南里,南區,51.94117647058823,56.498287324380335,0.0,307.0,11.5,68.0,41.0,0.0,0.0,0.0,-1.0,0.21291534168291457,0.29928401489089096,0.28634998577726845,0.18606334841628933,6,2.1839348079161818,3,0.058823529411764705,9,0.17647058823529413,2,12,0,1
南區-廣州里,南區,89.13725490196079,114.01263431880577,0.0,691.0,21.0,119.0,61.0,0.0,0.0,0.0,-1.0,0.15497668307751855,0.12490096346309287,0.18606316108248594,0.6841628959276013,7,2.374614367562803,2,0.0392156862745098,8,0.1568627450980392,2,21,0,1
南區-建南里,南區,71.90196078431373,79.29016456079803,0.0,296.0,11.5,94.5,40.0,0.0,0.0,0.0,-1.0,0.4325832394485297,0.3356710350320649,0.4610961993200039,0.48995475113122194,9,2.555462885738115,5,0.09803921568627451,3,0.058823529411764705,1,23,0,2
南區-彰南里,南區,37.03921568627451,39.95044970175616,0.0,142.0,4.0,52.5,23.0,0.0,0.0,0.0,-1.0,0.27133775444634606,0.4155318890504724,0.28891884918633065,0.5801809954751129,10,2.9211796246648793,2,0.0392156862745098,12,0.23529411764705882,3,23,0,2
南區-文南里,南區,46.294117647058826,39.47520442893086,0.0,155.0,15.5,75.0,35.0,0.0,0.0,0.0,-1.0,0.23553833870330723,0.328250455010398,0.5122752839399977,0.38986425339366504,9,1.7994858611825193,0,0.0,7,0.13725490196078433,2,23,0,2
南區-文華里,南區,37.01960784313726,50.53651756742977,0.0,245.0,6.5,44.5,23.0,0.0,0.0,0.0,-1.0,0.4324572698384336,0.23342082879071394,0.24725392137506022,0.24841628959276002,7,3.5448717948717947,4,0.0784313725490196,11,0.21568627450980393,3,17,0,1
南區-新昌里,南區,119.45098039215686,117.18776620884796,0.0,514.0,30.0,175.5,89.0,0.0,0.0,0.0,-1.0,0.2788999820380217,0.2619175177140162,0.35912233516303504,0.7385520361990953,7,2.427664550618109,2,0.0392156862745098,6,0.11764705882352941,2,27,1,1
南區-新生里,南區,100.3529411764706,120.558338331185,0.0,432.0,9.0,159.0,50.0,0.0,0.0,0.0,-1.0,0.3765803060093279,0.12724456589285235,0.42323612441625663,1.5253393665158363,10,2.095648765190121,2,0.0392156862745098,12,0.23529411764705882,5,25,0,2
