區,里,桶數
中西區,大涼里,12
中西區,小西門里,12
中西區,五條港里,12
中西區,永華里,12
中西區,光賢里,12
中西區,西和里,12
中西區,西湖里,12
中西區,西賢里,12
中西區,兌悅里,12
中西區,赤嵌里,12
中西區,府前里,12
中西區,法華里,12
中西區,南門里,12
中西區,南美里,12
中西區,南廠里,12
中西區,城隍里,12
中西區,郡王里,12
中西區,淺草里,12
中西區,開山里,12
中西區,藥王里,12
仁德區,一甲里,12
仁德區,二行里,12
仁德區,上崙里,12
仁德區,土庫里,12
仁德區,大甲里,12
仁德區,中洲里,12
仁德區,仁和里,12
仁德區,仁愛里,12
仁德區,仁義里,12
仁德區,仁德里,12
仁德區,太子里,12
仁德區,文賢里,12
仁德區,成功里,12
仁德區,保安里,12
仁德區,後壁里,12
仁德區,新田里,12
北區,力行里,12
北區,大光里,12
北區,大和里,12
北區,大港里,12
北區,大興里,12
北區,大豐里,12
北區,小北里,12
北區,中樓里,12
北區,仁愛里,12
北區,元美里,12
北區,元寶里,12
北區,公園里,12
北區,文元里,12
北區,文成里,12
北區,北門里,12
北區,北華里,12
北區,正覺里,12
北區,永祥里,12
北區,立人里,12
北區,合興里,12
北區,成功里,12
北區,成德里,12
北區,和順里,12
北區,東興里,12
北區,長勝里,12
北區,長興里,12
北區,重興里,12
北區,振興里,12
北區,華德里,12
北區,開元里,12
北區,福德里,12
北區,賢北里,12
北區,雙安里,12
南區,大成里,12
南區,大忠里,12
南區,大林里,12
南區,大恩里,12
南區,文南里,12
南區,文華里,12
南區,永寧里,12
南區,田寮里,12
南區,光明里,12
南區,再興里,12
南區,同安里,12
南區,竹溪里,12
南區,佛壇里,12
南區,府南里,12
南區,明亮里,12
南區,明德里,12
南區,明興里,12
南區,松安里,12
南區,金華里,12
南區,南都里,12
南區,南華里,12
南區,建南里,12
南區,省躬里,12
南區,郡南里,12
南區,國宅里,12
南區,喜北里,12
南區,喜東里,12
南區,喜南里,12
南區,開南里,12
南區,新生里,12
南區,新昌里,12
南區,新興里,12
南區,彰南里,12
南區,廣州里,12
南區,興農里,12
南區,鯤鯓里,12
南區,鹽埕里,12
安南區,大安里,12
安南區,公塭里,12
安南區,公親里,12
安南區,四草里,12
安南區,布袋里,12
安南區,安西里,12
安南區,安和里,12
安南區,安東里,12
安南區,安富里,12
安南區,安順里,12
安南區,安慶里,12
安南區,州北里,12
安南區,州南里,12
安南區,佃西里,12
安南區,佃東里,12
安南區,幸福里,12
安南區,東和里,12
安南區,長安里,12
安南區,青草里,12
安南區,南興里,12
安南區,城中里,12
安南區,城北里,12
安南區,城西里,12
安南區,城東里,12
安南區,城南里,12
安南區,砂崙里,12
安南區,原佃里,12
安南區,海西里,12
安南區,海佃里,12
安南區,海東里,12
安南區,海南里,12
安南區,國安里,12
安南區,梅花里,12
安南區,淵中里,12
安南區,淵西里,12
安南區,淵東里,12
安南區,理想里,12
安南區,頂安里,12
安南區,鹿耳里,12
安南區,塭南里,12
安南區,新順里,12
安南區,溪心里,12
安南區,溪北里,12
安南區,溪東里,12
安南區,溪頂里,12
安南區,溪墘里,12
安南區,鳳凰里,12
安南區,學東里,12
安南區,總頭里,12
安南區,媽祖宮里,12
安南區,塩田里,12
安平區,天妃里,12
安平區,文平里,12
安平區,王城里,12
安平區,平安里,12
安平區,平通里,12
安平區,育平里,12
安平區,怡平里,12
安平區,金城里,12
安平區,建平里,12
安平區,國平里,12
安平區,華平里,12
安平區,漁光里,12
安平區,億載里,12
新營區,永平里,12
新營區,忠政里,12
新營區,王公里,12
新營區,新東里,12
新營區,民權里,12
新營區,民生里,12
東區,大同里,12
東區,大智里,12
東區,大福里,12
東區,大德里,12
東區,大學里,12
東區,小東里,12
東區,中西里,12
東區,仁和里,12
東區,文聖里,12
東區,成大里,12
東區,自強里,12
東區,和平里,12
東區,忠孝里,12
東區,東光里,12
東區,東安里,12
東區,東明里,12
東區,東門里,12
東區,東智里,12
東區,東聖里,12
東區,虎尾里,12
東區,南聖里,12
東區,後甲里,12
東區,泉南里,12
東區,崇文里,12
東區,崇成里,12
東區,崇明里,12
東區,崇信里,12
東區,崇善里,12
東區,崇誨里,12
東區,崇德里,12
東區,崇學里,12
東區,莊敬里,12
東區,圍下里,12
東區,富強里,12
東區,富裕里,12
東區,復興里,12
東區,新東里,12
東區,裕聖里,12
東區,裕農里,12
東區,路東里,12
東區,德光里,12
東區,德高里,12
東區,衛國里,12
東區,龍山里,12
東區,關聖里,12
歸仁區,辜厝里,12
歸仁區,文化里,12
歸仁區,許厝里,12
歸仁區,後市里,12
歸仁區,南保里,12
歸仁區,新厝里,12
歸仁區,看西里,12
永康區,二王里,12
永康區,三民里,12
永康區,三合里,12
永康區,大橋里,12
永康區,大灣里,12
永康區,中華里,12
永康區,中興里,12
永康區,五王里,12
永康區,六合里,12
永康區,王行里,12
永康區,北興里,12
永康區,北灣里,12
永康區,正強里,12
永康區,永明里,12
永康區,永康里,12
永康區,甲頂里,12
永康區,光復里,12
永康區,安康里,12
永康區,成功里,12
永康區,西勢里,12
永康區,西橋里,12
永康區,西灣里,12
永康區,尚頂里,12
永康區,東橋里,12
永康區,東灣里,12
永康區,南灣里,12
永康區,建國里,12
永康區,埔園里,12
永康區,烏竹里,12
永康區,神洲里,12
永康區,崑山里,12
永康區,勝利里,12
永康區,復國里,12
永康區,復興里,12
永康區,復華里,12
永康區,塩行里,12
永康區,塩洲里,12
永康區,塩興里,12
永康區,新樹里,12
永康區,網寮里,12
永康區,蔦松里,12
永康區,龍埔里,12
永康區,龍潭里,12
