district_a,district_b,distance_meters
南區,鹽水區,38400.316007481204
南區,將軍區,28684.178330506857
南區,北門區,36244.26541600026
南區,善化區,23287.500830586632
南區,柳營區,38548.30006255676
南區,左鎮區,24093.390932726023
南區,六甲區,35805.51947820475
南區,楠西區,41635.747542354315
南區,麻豆區,25645.543890466455
南區,玉井區,32888.318683641344
南區,官田區,30663.271319880554
南區,後壁區,47789.08707316205
南區,大內區,29947.22455081854
南區,龍崎區,20199.4793120991
南區,安平區,4558.070581523695
南區,新市區,17609.648158121214
南區,安定區,16414.951603242396
南區,東區,4861.389519819647
南區,北區,6219.90683737462
南區,山上區,24252.81365728955
南區,學甲區,32837.172442509844
南區,白河區,51676.29724306796
南區,新化區,17272.11983438257
南區,永康區,10298.00982052021
南區,仁德區,5559.951976016669
南區,關廟區,14798.30052063112
南區,東山區,44195.464673388546
南區,安南區,10972.420028853201
南區,中西區,4372.906480246438
南區,新營區,39744.027435302
南區,西港區,18752.10180931146
南區,歸仁區,10621.06272297587
南區,下營區,31420.91076262382
南區,南化區,40361.58707260852
南區,七股區,20689.19461497567
南區,佳里區,23406.966330973977
鹽水區,將軍區,15889.380661822828
鹽水區,北門區,12727.028356428229
鹽水區,善化區,18237.43307220915
鹽水區,柳營區,11311.810069798323
鹽水區,左鎮區,34502.40343763214
鹽水區,六甲區,15565.687984728027
鹽水區,楠西區,30493.97702786192
鹽水區,麻豆區,12846.380580354593
鹽水區,玉井區,29756.66389041012
鹽水區,官田區,15643.461587852236
鹽水區,後壁區,12396.790916185557
鹽水區,大內區,22925.046175007046
鹽水區,龍崎區,40593.758268825535
鹽水區,安平區,35271.30438316471
鹽水區,新市區,24246.01213083948
鹽水區,安定區,22112.07039880835
鹽水區,東區,35115.1322863353
鹽水區,北區,32223.899696067518
鹽水區,山上區,25596.650798348426
鹽水區,學甲區,8326.000940315394
鹽水區,白河區,22185.38434810259
鹽水區,新化區,30609.862365848425
鹽水區,永康區,30024.375274281596
鹽水區,仁德區,39542.31119846233
鹽水區,關廟區,38937.88993353466
鹽水區,東山區,20140.158877839192
鹽水區,安南區,29341.122526380677
鹽水區,中西區,34039.94068214155
鹽水區,新營區,4740.500249264821
鹽水區,西港區,19834.027476388535
鹽水區,歸仁區,39204.03118246635
鹽水區,下營區,7635.349977803425
