觀測日期,週平均氣溫(℃),週最高氣溫(℃),週最低氣溫(℃),週總降水量(mm),週總降水時數(hour),週平均相對溼度(%),週總日照時數(hour),週平均測站氣壓(hPa),颱風數量,颱風名稱
Date,Temperature,T Max,T Min,Precp,PrecpHour,RH,SunShine,StnPres,Typhoon,TyphoonName
2023-01-01,18.7,21.3,17.1,0,1.6,87,0,1018.4,0,0
2023-01-08,18.96,24.9,15.8,0.5,7.1,82,4.94,1017.89,0,0
2023-01-15,21.21,28.5,15.4,0,1.3,82.86,5.71,1012.23,0,0
2023-01-22,17.34,25.9,13,0,0.2,75.71,7.57,1016.64,0,0
2023-01-29,15,24.6,9.1,0,0,63.43,8.77,1016.9,0,0
2023-02-05,18.47,26.9,10.6,0,0,70.86,6.86,1014.69,0,0
2023-02-12,21.36,28.8,16.6,0,0.3,80.43,7.37,1012.34,0,0
2023-02-19,18.47,30.1,12.5,0,0.7,74.29,7.26,1015.83,0,0
2023-02-26,16.97,23.4,13.1,0,0,71.86,6.46,1016.94,0,0
2023-03-05,17.87,25.6,13,0,0,70.14,10.47,1020.01,0,0
2023-03-12,21.4,27.2,15.5,0,0,59.14,10.4,1016.04,0,0
2023-03-19,21.53,27.6,15.5,0,0,70.86,8.63,1013.73,0,0
2023-03-26,24.2,30.3,18.1,0,2.3,76.29,8.23,1009.2,0,0
2023-04-02,21.86,29.3,16.7,0.5,3,79,5.93,1010.79,0,0
2023-04-09,24.11,30.5,18.2,0,0.2,71.14,7.34,1011,0,0
2023-04-16,25.27,31.2,20.4,0,0,71.57,9.01,1008.86,0,0
2023-04-23,26.81,33.4,22.7,0.5,2.1,74.14,6.27,1007.36,0,0
2023-04-30,25.73,32,21.2,0,0,71.14,7.6,1009.97,0,0
2023-05-07,27.54,32.9,21.4,14.5,3.8,71.43,9.54,1007.57,0,0
2023-05-14,25.16,29.5,20.7,1.5,3.3,71.86,3.69,1009.79,0,0
2023-05-21,27.56,31.8,22.9,7.5,8.1,79,5.34,1007.17,0,0
2023-05-28,28.4,33.2,24.8,4,1.2,74.57,5.9,1007.86,0,0
2023-06-04,29.27,33.7,26.5,10,3.1,75,6.91,1001.2,0,0
2023-06-11,29.46,32.9,25.4,34.5,3.8,76.14,8.14,1004.27,0,0
2023-06-18,28.31,33,24.6,110.5,20.6,83.57,2.79,1004.39,0,0
2023-06-25,30.11,34,27.6,2,0.8,73.43,10.27,1006.13,0,0
2023-07-02,29.87,34.3,24.5,26.5,4.3,74,6.67,1006.96,0,0
2023-07-09,30.63,34.2,27.8,0,0,71.86,10.84,1007.63,0,0
2023-07-16,30.37,35.2,26,42,4.2,73,7.29,1003.19,0,0
2023-07-23,29.83,34.8,25.7,48,12.1,75,6.44,1006.49,0,0
2023-07-30,28.34,34.1,23.5,171,46.8,82.71,4.1,1000.16,1,DOKSURI
2023-08-06,29.71,33.7,26.2,0.5,1,81.29,3.86,1000.8,0,0
2023-08-13,28.41,33,24.4,294.5,30.3,85,3.54,1002.43,0,0
2023-08-20,28.01,32.7,25,82,10.3,84.71,3.16,1004.44,0,0
2023-08-27,29.74,34.1,26.7,0,0.4,74.29,8.71,1003.93,0,0
2023-09-03,29.01,34.3,25.6,61.5,20.7,80.57,4.16,998.21,2,HAIKUI/SAOLA
2023-09-10,26.86,33,23.9,364.5,49.2,88.86,1.93,1003.53,0,0
2023-09-17,28.76,33.2,24.8,0.5,0.5,74.43,7.31,1006.89,0,0
2023-09-24,29.91,33.7,26.9,0,0,72.29,8.76,1007.91,0,0
2023-10-01,29.71,33.7,26.8,0.5,0.9,76.29,7.39,1006.96,0,0
2023-10-08,27.57,33.7,24.5,17,9.9,78.14,3.24,1004.16,0,0
2023-10-15,27.39,31.8,23.2,0,0,72.57,7.09,1011.03,0,0
2023-10-22,26.51,32.5,22.9,0,2.1,72,4.3,1013.04,0,0
2023-10-29,26.91,31.1,23.8,0,0,75,8.31,1012.07,0,0
2023-11-05,26.51,32.2,22.8,0,0,72.14,9.47,1012.29,0,0
2023-11-12,26.47,33.9,22,0,0,71.86,8.13,1013.34,0,0
2023-11-19,21.7,28.8,15.1,0,0,61.86,7.43,1017.76,0,0
2023-11-26,22.61,28.7,18.1,0,0,67.29,9.89,1014.59,0,0
2023-12-03,22.66,28.9,17.8,0,0.4,71.57,4.29,1015.7,0,0
2023-12-10,23.01,30.3,18.7,0,0.3,67.71,6.66,1012.27,0,0
2023-12-17,23.14,29.9,14.4,0,0.7,74.57,6.53,1015.01,0,0
2023-12-24,17.29,26.1,10.9,7,6.9,71.43,3.09,1019.9,0,0
2023-12-31,19.19,28.1,11.7,8,6.9,79.86,4.17,1017.99,0,0
