觀測週,週平均氣溫(℃),週最高氣溫(℃),週最低氣溫(℃),週總降水量(mm),週總降水時數(hour),週平均相對溼度(%),週總日照時數(hour),週平均測站氣壓(hPa),颱風數量,颱風名稱
Date,Temperature,T Max,T Min,Precp,PrecpHour,RH,SunShine,StnPres,Typhoon,TyphoonName
2023-01-01,18.7,21.5,17.1,0,1.2,88,0,1020.1,0,0
2023-01-08,18.99,25.8,15.6,2,5,84.57,33.8,1019.57,0,0
2023-01-15,21.19,29.8,15.3,0,0.9,86.14,37.3,1013.89,0,0
2023-01-22,17.49,26.2,12.8,0,0.2,77.71,52.1,1018.34,0,0
2023-01-29,15.1,25.5,8.5,0,0,66.71,60.5,1018.63,0,0
2023-02-05,18.5,27.5,10.1,0,0,73.57,49.8,1016.36,0,0
2023-02-12,21.36,29.8,16.8,0,0.3,82.29,48.5,1013.91,0,0
2023-02-19,18.59,31.4,12.4,0,0.4,76.14,47.7,1017.49,0,0
2023-02-26,17.24,24,13.2,0,0,73,43.3,1018.63,0,0
2023-03-05,18.01,26.7,12.5,0,0,72.29,72,1021.64,0,0
2023-03-12,21.27,28.1,14.5,0,0,61.86,69.8,1017.66,0,0
2023-03-19,21.6,28.6,15.5,0,0,72.86,59.5,1015.36,0,0
2023-03-26,24.46,32,18,0.5,1.1,77.57,58.7,1010.79,0,0
2023-04-02,21.96,30.4,16.7,1,1.2,81.29,40.2,1012.47,0,0
2023-04-09,24.33,31.8,18.2,0,0.1,72.43,48.2,1012.6,0,0
2023-04-16,25.37,33.2,20.2,0,0,73,59.9,1010.41,0,0
2023-04-23,27,35.1,22.4,3,0.6,76,42.5,1008.9,0,0
2023-04-30,25.89,33.8,20.8,0,0,72.71,51.7,1011.59,0,0
2023-05-07,27.94,35.5,21.2,17,2,72.57,65.7,1009.11,0,0
2023-05-14,25.17,30.6,20.7,7.5,1.9,76.43,21.9,1011.4,0,0
2023-05-21,27.79,33.4,22.9,19.5,2.1,82,35.3,1008.71,0,0
2023-05-28,28.37,33.2,24.5,15,0.6,79.29,42,1009.46,0,0
2023-06-04,29.36,35.2,26.3,14,1.3,79.86,49.4,1002.74,0,0
2023-06-11,29.79,34.3,25.1,33.5,1.1,78.71,54.1,1005.81,0,0
2023-06-18,28.46,33.9,24.7,61,7.6,88.14,18.1,1005.94,0,0
2023-06-25,30.24,34.6,26.7,1.5,0.5,76.29,67.5,1007.69,0,0
2023-07-02,29.81,34.2,25.3,57.5,2.2,78.29,43.4,1008.54,0,0
2023-07-09,30.8,34.6,27.4,0,0,73.29,75.3,1009.17,0,0
2023-07-16,30.14,35.8,26,35,1.2,75.29,51.8,1004.79,0,0
2023-07-23,29.67,35.5,25.1,91.5,6.2,78.43,16.5,1008.07,0,0
2023-07-30,28.29,34.6,23.9,172,17.5,85.29,0,1001.77,1,DOKSURI
2023-08-06,29.66,33.5,26,2.5,0.4,83.14,0,1002.34,0,0
2023-08-13,28.29,34,24.7,328.5,12.8,88,6.6,1003.99,0,0
2023-08-20,27.97,33.5,25.2,43.5,4,88,12.9,1006.04,0,0
2023-08-27,29.64,34.5,26.2,0,1.6,77.71,56.4,1005.51,0,0
2023-09-03,28.96,34.9,25.7,47,22.4,84.29,28.1,999.8,2,HAIKUI/SAOLA
2023-09-10,26.91,33.6,23.9,415,57.5,91.29,12.6,1005.17,0,0
2023-09-17,28.47,33.3,24.8,0,1,79.29,44.9,1008.46,0,0
2023-09-24,29.81,34.1,26.4,0,0,75.43,61.3,1009.5,0,0
2023-10-01,29.53,34.5,26.5,16,3.4,80.29,42.3,1008.56,0,0
2023-10-08,27.5,34.2,24.5,13,19,82.71,21.2,1005.81,0,0
2023-10-15,27.16,32.2,22.8,0,0,76.57,41.2,1012.63,0,0
2023-10-22,26.26,32.7,22.8,0,3.1,77.43,28.9,1014.73,0,0
2023-10-29,26.7,31.7,23.2,0,0.2,81.57,52.1,1013.69,0,0
2023-11-05,26.21,32.7,22,0,0,77.14,64.2,1013.97,0,0
2023-11-12,26.3,34.3,21.9,0,0,75.14,53.2,1015.01,0,0
2023-11-19,21.61,29.9,14.7,0,0,64.29,53.4,1019.49,0,0
2023-11-26,22.26,29,17.4,0,0,70.43,69.3,1016.27,0,0
2023-12-03,22.69,29.1,17.8,0,1.2,73.71,31.2,1017.4,0,0
2023-12-10,22.9,30.9,18.5,0,0.5,71,46,1013.99,0,0
2023-12-17,23,30,14.3,0,0.6,77.86,44.7,1016.73,0,0
2023-12-24,17.33,26.7,11.1,10.5,8.6,73.71,22.3,1021.64,0,0
2023-12-31,19.19,28.6,11.5,8.5,9.1,82.29,27.2,1019.7,0,0
